datetime,BIFIBUSD_open,BIFIBUSD_high,BIFIBUSD_low,BIFIBUSD_close
2022-01-15 09:00:00,1431.2,1440.5,1422.0,1435.4
2022-01-15 10:00:00,1434.5,1444.4,1431.8,1444.4
2022-01-15 11:00:00,1444.4,1450.0,1433.1,1436.5
2022-01-15 12:00:00,1436.4,1440.4,1423.4,1427.5
2022-01-15 13:00:00,1428.2,1428.2,1417.9,1424.4
2022-01-15 14:00:00,1423.7,1429.4,1413.2,1413.2
2022-01-15 15:00:00,1415.5,1441.7,1415.5,1429.5
2022-01-15 16:00:00,1429.6,1450.0,1422.2,1431.5
2022-01-15 17:00:00,1431.3,1431.3,1404.5,1416.5
2022-01-15 18:00:00,1419.1,1420.5,1417.3,1417.4
2022-01-15 19:00:00,1418.9,1435.2,1417.5,1419.0
2022-01-15 20:00:00,1421.0,1421.0,1405.5,1407.0
2022-01-15 21:00:00,1408.0,1408.0,1377.0,1377.0
2022-01-15 22:00:00,1379.0,1388.0,1378.0,1388.0
2022-01-15 23:00:00,1388.0,1388.3,1383.0,1388.0
2022-01-16 00:00:00,1388.6,1389.8,1373.2,1378.0
2022-01-16 01:00:00,1379.0,1389.7,1376.0,1388.0
2022-01-16 02:00:00,1389.7,1402.9,1388.0,1400.0
2022-01-16 03:00:00,1400.9,1421.6,1400.9,1415.0
2022-01-16 04:00:00,1414.5,1434.6,1414.5,1423.0
2022-01-16 05:00:00,1423.0,1443.1,1423.0,1432.8
2022-01-16 06:00:00,1432.3,1432.3,1409.0,1425.0
2022-01-16 07:00:00,1426.0,1429.0,1415.6,1426.9
2022-01-16 08:00:00,1426.8,1441.0,1422.0,1429.1
2022-01-16 09:00:00,1429.8,1450.0,1429.8,1436.0
2022-01-16 10:00:00,1435.0,1450.0,1435.0,1444.0
2022-01-16 11:00:00,1445.0,1485.7,1438.0,1439.4
2022-01-16 12:00:00,1441.0,1442.0,1417.7,1420.0
2022-01-16 13:00:00,1421.0,1430.9,1420.3,1427.7
